"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"TMEM182",0.669229909572563,12.1546023237821,4.01133146338667,0.000754564959330567,0.00550909416735736,-1.43693539400168,0.00813694162511436,"TMEM182",0.00226497173796875,0.0766050227995964,3.12230336653857,"+","","+"
"TECR",0.666906188667427,12.274348775979,4.9750120336309,4.4872992881636e-05,0.000600123858071225,1.10933079925575,0.00125974288002962,"TECR",0.000246730866548995,0.0166915931603925,4.34801496348158,"+","+","+"
"PKM",0.66648669760751,19.102345614786,6.50873248560054,1.01288032947193e-06,2.70921822705482e-05,4.93654535179504,0.000101107701769263,"PKM",1.1138496692665e-05,0.00194208216418545,5.99444186295176,"+","+","+"
"PPP1R27",0.662313753069654,11.4673856887789,3.21874606690285,0.00368532111321977,0.0179072818778183,-3.24071850352199,0.0244479892591932,"PPP1R27",0.00736227882932601,0.175804385074902,2.43352466475919,"+","","+"
"GAPVD1",0.660717213996659,9.82140659667181,1.57033090737611,0.138846183744574,0.28795491150505,-6.20226471017655,0.271304763252792,"GAPVD1",0.118387835922777,0.88739912277656,0.85746605254642,"","",""
"CA8",0.656826548218858,14.990725426344,2.57886421275839,0.0165072786701469,0.0578577150794074,-4.6635349908746,0.0675028236299814,"CA8",0.0237872298961206,0.351899965808755,1.78232451704319,"","","+"
"COL1A1",0.650929252799592,11.4316876090644,1.60124444243873,0.122469329353202,0.262749040936181,-6.44699645876714,0.254900282985719,"COL1A1",0.108024864672864,0.852248376057392,0.911972660364202,"","",""
"GMPPB",0.648985632404623,12.610374802961,4.88472707495519,5.63912009735586e-05,0.000710976287164426,0.880405566927633,0.00174822451952089,"GMPPB",0.000292305984953937,0.0220414915192457,4.24878865606539,"+","+","+"
"MANF",0.6448675344362,11.2092630649157,3.17318430949614,0.00683375463641147,0.0290181094501626,-3.36285175987508,0.0401459864948136,"MANF",0.0119303093752398,0.23887279282361,2.16534061844998,"+","","+"
"RAPH1",0.643032727891287,13.0097701079017,3.60206510526415,0.00143836461636863,0.00896862643147498,-2.32798292053973,0.014873622141291,"RAPH1",0.00368730044878405,0.119238953973039,2.84213100908197,"+","","+"
"MT-ND1",0.640853918423081,13.0163803255015,3.20753184257352,0.00392481317092297,0.0188786811683723,-3.2670570598939,0.0287071097861138,"MT-ND1",0.00776165336759846,0.196085317918514,2.40618101172596,"+","","+"
"PFKFB1",0.640021124562319,12.8389582284631,6.52779351561929,9.67688473465103e-07,2.64735809196896e-05,4.98287164601234,0.000141495854044796,"PFKFB1",1.08841691146276e-05,0.00254692537280632,6.01426443197908,"+","+","+"
"LMNB1",0.638633357356094,10.5232686364701,3.47003273906638,0.00218760012959026,0.0123080194684159,-2.65985954923655,0.0200085121404301,"LMNB1",0.00506023592980325,0.148738601937431,2.66003205957042,"+","","+"
"EIF4EBP1",0.636908646078462,11.875206344655,4.49049884465249,0.000153288205500198,0.00156979609921599,-0.118263976009091,0.00371978240793626,"EIF4EBP1",0.00064539535740108,0.0411043137124077,3.81449125990909,"+","+","+"
"TNXB",0.623933204890546,12.4104198503703,2.50496651531178,0.0194764709392479,0.0661229653951689,-4.81717969467223,0.0856581438040271,"TNXB",0.0271853490430687,0.412692326152861,1.71048973279918,"","","+"
"ALDH1B1",0.622569640472536,14.3927038035392,3.69428733823004,0.00114334101610833,0.00742004985964184,-2.10358617207831,0.0147404097220169,"ALDH1B1",0.00305062914444055,0.118502956810147,2.94182421638921,"+","","+"
"LSM3",0.621327852604962,10.9207436456684,2.1883319582482,0.0414240065587138,0.119031633304256,-5.34702697201551,0.138312113522886,"LSM3",0.0489378611380182,0.581589669453408,1.38274789814682,"","","+"
"TPM1",0.614936836054365,20.9920758645969,5.8929729225302,4.52272119360543e-06,9.37973047543387e-05,3.42056886048846,0.00051690230997646,"TPM1",3.85631898661352e-05,0.00791109310776806,5.344600183824,"+","+","+"
"FAU",0.61014832256746,11.8591329981626,2.9384500293486,0.00815936293162742,0.0333255143251757,-3.85390377264802,0.0531863962329727,"FAU",0.0137012267002151,0.297885452091522,2.08834374885394,"","","+"
"PGAM2",0.606757668498325,19.02856968676,7.00559211448062,3.12669428388921e-07,1.02857460235528e-05,6.13084754333355,0.000113003838414128,"PGAM2",4.22881209497401e-06,0.00211383650680546,6.50491458032107,"+","+","+"
"ADGRE5",0.603282565153169,10.4241725614111,2.91795395382,0.012085673908529,0.0459962749018752,-3.74823086526918,0.0696734719054583,"ADGRE5",0.0189105975573772,0.361364323241791,1.9177291279129,"","","+"
"MUSTN1",0.598289929111033,14.5597020330409,2.47244757233501,0.0209343008988439,0.0694825856784597,-4.88396866002895,0.0989433312883724,"MUSTN1",0.0285666006174287,0.458368371302209,1.67914153779849,"","","+"
"PAIP1",0.597709588162937,12.5063093655842,4.58554085021899,0.000233057395414328,0.00218691890385511,-0.215970722207703,0.00674213957747269,"PAIP1",0.000899115055939852,0.0651892009146177,3.63253711141118,"+","","+"
"EARS2",0.596110057308421,14.3935779024997,1.89918196798972,0.0696855983643687,0.174588629726384,-5.966871202656,0.204355310209036,"EARS2",0.0717791891167905,0.751219485092972,1.15685696648078,"","",""
"HEXB",0.59286510012406,13.1887230761429,4.03855032210723,0.00070920892574144,0.0053134972394555,-1.37516673645716,0.0135810680864544,"HEXB",0.00218455533914293,0.111054333895521,3.14922580722811,"+","","+"
"USP19",0.592045294055184,10.9902800120324,2.30608642621488,0.041824019318994,0.119820163454415,-4.91499785401593,0.152693873585264,"USP19",0.0492620520939887,0.613777901967733,1.3785742334939,"","","+"
"OAT",0.590149766049823,10.4185829439641,3.18854904166889,0.0048648841844227,0.0224433693847694,-3.30404173596587,0.0431545289398746,"OAT",0.00922721518584608,0.251544321437721,2.31292749427843,"+","","+"
"ALDOA",0.589886113486546,20.068509419846,8.14252227796804,2.39207324481128e-08,9.92190380673895e-07,8.74985071132786,3.19407341585931e-05,"ALDOA",4.07922446529685e-07,0.000697819703525905,7.62122552646859,"+","+","+"
"OSBPL6",0.588273780874552,10.9056662661382,3.8654149163467,0.000744938588703043,0.0054667031817131,-1.6832834175959,0.0144527497808094,"OSBPL6",0.00224754339466728,0.117177818336194,3.12787952817345,"+","","+"
"GPI",0.587587720180551,18.0072418811769,5.56345321150486,1.02318181107164e-05,0.000184172725992894,2.59609676763897,0.00116925584266607,"GPI",7.57195296733635e-05,0.0157683284594075,4.99004718883964,"+","+","+"
"IKBKB",0.587469450586756,11.6582830914935,2.13366044621807,0.0478444114002013,0.13280404247943,-5.3783942555706,0.167664519957374,"IKBKB",0.054600156353508,0.657336789202747,1.32016878390178,"","",""
"GALK1",0.583675436485862,11.7499441935332,6.05400269028306,3.04620797733313e-06,7.0308445412318e-05,3.82041977856496,0.00060298422188903,"GALK1",2.89061390061168e-05,0.0090352923719707,5.51624044889075,"+","+","+"
"SERPINA6",0.583247171696232,11.6256939984421,2.41444968853972,0.0301585406690981,0.0931108342987689,-4.75670687152864,0.129753885417455,"SERPINA6",0.0382809590431391,0.552612529858268,1.52058967721511,"","","+"
"CNBP",0.579126568145853,11.2475216848717,3.23638481422607,0.00353114788545104,0.0172754619626682,-3.19953531435134,0.0380130707564197,"CNBP",0.00710251666011493,0.230983882175952,2.45208409368289,"+","","+"
"PCMTD1",0.575260462423209,10.8967359916794,3.6925879379139,0.00219791114290636,0.0123100228786653,-2.28773506606823,0.0295776400027782,"PCMTD1",0.00506105959835142,0.1987117504412,2.65798986920347,"+","","+"
"AGL",0.575073839243906,18.0077469144038,6.45758126927956,1.14510224963365e-06,2.92614521290312e-05,4.81203528838731,0.000383174644881619,"AGL",1.2030355639387e-05,0.00609247685361775,5.94115573212845,"+","+","+"
"PPP3R1",0.572440442039731,12.7616819004928,4.95912763072462,4.67124444552907e-05,0.000621818679214149,1.0690589971955,0.00331900632532634,"PPP3R1",0.000255650328670403,0.0378446059883824,4.33056740555173,"+","+","+"
"DUSP29",0.571127036739167,14.5480046271911,4.23477605610685,0.000293239812701772,0.00259945773126386,-0.762729405609917,0.00960142077013967,"DUSP29",0.00106872348093866,0.0847962203033032,3.53277706655858,"+","","+"
"RPS19",0.569600369917733,12.2123152865263,3.74317029869172,0.00106931638071165,0.00708422102221468,-2.00079861000359,0.0203131747087543,"RPS19",0.00291255874621167,0.150612191752474,2.97089378022762,"+","","+"
"CISD2",0.567961346609044,13.850222032208,1.73463040535554,0.0962593523620618,0.220219237777954,-6.21776813735983,0.26462744318041,"CISD2",0.0905394488770104,0.874553975037338,1.01655706460473,"","",""
"NAMPT",0.567907462907741,13.4336005396394,8.38105910041012,1.42562893400845e-08,6.4908025567766e-07,9.27804044724074,3.50107760955774e-05,"NAMPT",2.66858468946565e-07,0.000736770891070166,7.84599349894645,"+","+","+"
"APOC1",0.567016222190469,11.7669072760407,2.39477266092815,0.0248347752583451,0.0801320482405677,-5.04138744244083,0.123019261949915,"APOC1",0.0329449486715702,0.53507770167273,1.60493976578763,"","","+"
"PRRC1",0.566810949896832,10.3977654589982,3.37787716159648,0.00556187451845461,0.0249891442257725,-3.01682032198081,0.0527189411463284,"PRRC1",0.0102738678461454,0.296427523695072,2.25477881348651,"","","+"
"GAPDH",0.56590158448147,20.0597296833978,4.65783723391339,0.00010023976175817,0.0011211764127018,0.305224965391078,0.00545735511100942,"GAPDH",0.000460952891873494,0.0555834531235195,3.99895997420899,"+","","+"
"PFKL",0.561231890962597,16.0007407730225,3.33199201639919,0.00279814815098131,0.0146482395314183,-2.97482514071193,0.0369064623291138,"PFKL",0.00602237818809588,0.22666586949769,2.55312929504421,"+","","+"
"SNAP29",0.560588218842689,11.8053770394006,3.79831323097465,0.000881504421043901,0.00612346032288263,-1.84865125569728,0.019387813819754,"SNAP29",0.00251755808642407,0.14563759357516,3.05477550522495,"+","","+"
"LGALS3BP",0.559520487121562,11.1251400461333,1.9478080065572,0.0682648198451831,0.17138062666396,-5.7189346546964,0.2226944064329,"LGALS3BP",0.0704602724217808,0.783950050689986,1.16580305156473,"","",""
"GATAD2B",0.555791724622065,18.3457861618976,5.97947566145532,3.65642378045866e-06,8.0497575843636e-05,3.63563623110274,0.000951024727775086,"GATAD2B",3.30952292195598e-05,0.013408043206366,5.43694347517867,"+","+","+"
"EEF2K",0.553286800067555,11.7721884437153,5.35009609083273,1.74426009617419e-05,0.000272790841270521,2.05862837585305,0.00232941202201397,"EEF2K",0.000112153382586094,0.0282394753939716,4.7583887545463,"+","+","+"
"TJP1",0.552431575868638,12.8522411995218,2.96043655224788,0.00841824205643324,0.0341744805184566,-3.77169647229055,0.0714211425550637,"TJP1",0.0140502649224451,0.365013053558201,2.07477859079257,"","","+"
"INPP1",0.551791189276011,11.4086390374758,2.63697150135807,0.0144753271446845,0.0520658632524835,-4.54095892231671,0.0966164220644456,"INPP1",0.0214060070852609,0.45330524581712,1.83937161236559,"","","+"
"PPP1R3A",0.550220710815651,13.099107816807,4.6456166237266,0.000103397204345644,0.00114255906886963,0.274267846457043,0.00641357528528117,"PPP1R3A",0.000469744012597079,0.0628618235153243,3.98549120354066,"+","","+"
