"","ID","Description","setSize","enrichmentScore","NES","pvalue","p.adjust","qvalue","rank","leading_edge","core_enrichment"
"GO:0008544","GO:0008544","epidermis development",50,0.849210198805305,2.66177816915242,2.26387125555154e-17,5.94718978833388e-14,5.85031992882002e-14,64,"tags=48%, list=2%, signal=48%","KRT16/KRT6A/KRT6C/KRT71/KRT6B/KRT14/KRT17/KRT5/CSTA/CTNNB1/FLG/DSP/FLG2/CDSN/KRT9/KRT1/KRT2/CASP14/INTU/KRT10/CALML5/S100A7/FABP5/CASP3"
"GO:0045109","GO:0045109","intermediate filament organization",18,0.949284600447868,2.40449115505549,6.95281352454085e-14,3.65300822579376e-11,3.59350677952585e-11,80,"tags=78%, list=3%, signal=76%","KRT16/KRT6A/KRT6C/KRT71/KRT6B/KRT14/KRT17/KRT5/DSP/KRT9/KRT1/KRT2/KRT10/VIM"
