"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"KRT16",1.93697489821202,17.147071637816,3.57902156402792,0.00155010823991081,0.0513321752208433,-1.16027168166363,3.61244937071181e-06,"KRT16",0.0304407018880219,0.00172434249961977,2.80963797514924,"+","+","+"
"KRT6B",1.70960953877526,16.5134910910015,3.34889833140331,0.00272446392260596,0.0656966903643703,-1.68047517609084,4.12412707162209e-05,"KRT6B",0.0389590614036446,0.0118114999331257,2.56471893865614,"+","+","+"
"KRT71",1.62043567469359,12.4173468163034,4.28158753050459,0.000267974187490344,0.0170550682882744,0.471377680559462,1.62912500734868e-06,"KRT71",0.0101138953728267,0.00112663437193247,3.57190703720405,"+","+","+"
"KRT6A",1.60566615897498,16.1596033080477,3.28667774555234,0.00316868218399451,0.0687508013254567,-1.81929914205588,9.7105867534506e-05,"KRT6A",0.040770192159343,0.0227014288952739,2.49912131797573,"+","+","+"
"KRT14",1.58233210128149,18.0355477502615,3.71737876443114,0.00110063882354068,0.04202972787494,-0.843186466893347,2.08400925916668e-05,"KRT14",0.0249242197738823,0.00663178057583708,2.95835517210626,"+","+","+"
"MMRN2",1.38295416442983,12.5634082871805,2.1673072530991,0.0642564909051339,0.284741036808702,-3.87392089447803,0.0224596951567252,"MMRN2",0.168855439682604,0.804057086610763,1.19208299528231,"+","",""
"KRT17",1.38207206605123,14.4917087447861,3.42687457570622,0.0022525575207388,0.0591864654990451,-1.50533642669263,0.000219385185536259,"KRT17",0.035098406492826,0.0369599512574028,2.64732411017332,"+","+","+"
"KRT5",1.37986189799337,17.6016178368409,3.52395518399869,0.00177528975439845,0.0524168026453315,-1.28563534107708,0.000160092667811477,"KRT5",0.0310839012059228,0.0286565875382544,2.75073075333205,"+","+","+"
"SBSN",1.3689578546524,12.4353515468548,3.91424792120457,0.000673890805037777,0.0304151528992579,-0.387680697539757,4.55483582304339e-05,"SBSN",0.0180366134554332,0.0118591361792693,3.17141046935704,"+","+","+"
"JUP",1.31132466607306,15.4152741189677,3.27250484051504,0.00327928564836361,0.0700886126635327,-1.850799621406,0.000552560775353129,"JUP",0.0415635330990087,0.0753587647910172,2.48422075164266,"+","","+"
"S100A13",1.28181916579031,14.471528634215,6.68153734690781,7.26468596177286e-07,0.000886889120509756,5.97075992850709,1.35266451677047e-08,"S100A13",0.000525937722471678,3.87403117603062e-05,6.13878315466492,"+","+","+"
"THY1",1.26702664469099,11.7925813397725,6.74761692861315,1.27315673791823e-06,0.000911580224349455,5.42938597247373,3.39412833410062e-08,"THY1",0.000540579894326598,4.86039177443209e-05,5.89511812720042,"+","+","+"
"FLG2",1.26206690172,11.5114480995398,5.80935560263921,3.01072257255406e-05,0.0067780468538088,2.52087933817875,1.9668896158039e-06,"FLG2",0.00401947711687969,0.00112663437193247,4.52132926134539,"+","+","+"
"POSTN",1.22756266775561,10.5925887661865,3.17007726935092,0.00769877096374585,0.106518261063614,-2.30198191928964,0.00254360584850194,"POSTN",0.0631668269797256,0.208139632860273,2.11357860031663,"+","",""
"CALML5",1.21407419334995,9.32911198638403,2.72967045203425,0.0244274600833808,0.179398646701745,-3.18065558592512,0.0110348049850015,"CALML5",0.106385920718687,0.478843658743094,1.61212168771824,"+","",""
"DSC1",1.19179976666222,16.6627643859878,3.30954780115997,0.00299779166225816,0.0678047537093417,-1.76837212405411,0.000983677083230504,"DSC1",0.040209172616919,0.117385465265507,2.52319855263371,"+","","+"
"MYBPH",1.16256788524538,15.8398729399085,3.3207751312631,0.00291720425536436,0.067378007962609,-1.74332828806825,0.00112941059697252,"MYBPH",0.0399561063869689,0.124408921143435,2.53503316159748,"+","","+"
"DSP",1.13596153881991,12.9938261287765,2.93325002833226,0.00736440765714636,0.103390507500329,-2.58933933494713,0.00377703141406865,"DSP",0.0613120251251475,0.251567859764945,2.13286217911031,"+","",""
"KRT9",1.10946341431087,20.2437833478902,3.11325929308921,0.00480893560012236,0.0839804363338442,-2.20137674428271,0.00268113156876996,"KRT9",0.0498015799226549,0.213298911471033,2.31795103883361,"+","","+"
"DSG1",1.1068379695956,16.9286293707771,2.94105330352996,0.00723075975626488,0.1025192868413,-2.57272368458946,0.00427035018488283,"DSG1",0.0607953790207091,0.267424591045283,2.14081606776522,"+","",""
"ALDH1B1",1.09724785880041,15.2526125531757,5.17975409650176,2.80168633896145e-05,0.0067780468538088,2.58043380848882,1.01085952597083e-05,"ALDH1B1",0.00401947711687969,0.00361887710297557,4.55258048749536,"+","+","+"
"NES",1.08970942106661,12.7760959242271,4.31032955513995,0.0002492650148003,0.0166022093578619,0.538906719047216,0.000118415322442525,"NES",0.00984534365767517,0.0227014288952739,3.603338671939,"+","+","+"
"FLG",1.07863495280709,14.3415146033108,2.88590203114414,0.0082272629609462,0.108715360232523,-2.68973900252148,0.00564055169171224,"FLG",0.0644697376888752,0.28847392937614,2.08474462149011,"+","",""
"CDSN",1.07599402703314,11.4039637241296,3.38002901855456,0.00275855503332419,0.0658375134620039,-1.64432739908466,0.00176274196972143,"CDSN",0.0390425714812045,0.157765406290068,2.55931834742108,"+","","+"
"KRT2",1.05613598386224,18.5571452514334,3.19912476862452,0.00391441323028532,0.0762644863369876,-2.01313383061731,0.00286766651817606,"KRT2",0.0452259130504312,0.221972889406925,2.40733332937815,"+","","+"
