"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"HP1BP3",0.548341990319775,11.1121956021948,5.11014341028677,2.76094677760359e-05,0.000146906085499521,1.15403091500195,0.00316330224158438,"HP1BP3",5.02044527690263e-05,0.0187505886493914,4.55894196511585,"+","+","+"
"TPI1",0.546110425477835,19.0656666821108,10.5910815870687,9.33329078902467e-11,2.75476407515233e-09,13.9962104428034,3.33066869742926e-06,"TPI1",9.41427459798775e-10,4.89010486191793e-05,10.0299652030347,"+","+","+"
"MRPS14",0.545207118667937,10.0236343712437,2.60156560066037,0.019183607465613,0.0423786019861497,-4.92898071147861,0.115835416626911,"MRPS14",0.014482684734241,0.362411155050696,1.71706972067467,"","","+"
"TSTD1",0.544665004652872,11.2642437673305,4.03090384547158,0.000553791207144442,0.00201461782217857,-1.7169386047955,0.0168350559626956,"TSTD1",0.000688486014430849,0.0792742849032855,3.25665394407431,"+","","+"
"RCSD1",0.542319148682662,10.558429155448,3.89861585465012,0.000717175792044896,0.00252244999093924,-2.01616322025177,0.0197126751003481,"RCSD1",0.000862035231568079,0.0894411867072846,3.14437437828269,"+","","+"
"NOP14",0.537495982534232,12.1079216962395,3.6209007138638,0.00208792711474812,0.00630562798472981,-2.78164084160512,0.036254152740426,"NOP14",0.00215491823406764,0.14557593169122,2.68028466573452,"+","","+"
"PYGB",0.536047130077385,18.0388877676883,8.0508422288255,2.01090107550886e-08,2.93735192815402e-07,8.48929148905897,7.48608367056294e-05,"PYGB",1.00382598611613e-07,0.000773742149776956,7.69660929360881,"+","+","+"
"INPP1",0.535981936615674,11.0645411727676,3.73568551924427,0.000967005786351261,0.00325710301920431,-2.37970815617276,0.0242239207153915,"INPP1",0.00111309939363968,0.10523988620359,3.01457092718597,"+","","+"
"ATIC",0.535638824887023,14.7713820689256,8.41507608663618,8.8383629008116e-09,1.46267242687998e-07,9.33022473079595,4.85471870399548e-05,"ATIC",4.99861312907234e-08,0.000530498459906071,8.05362817039261,"+","+","+"
"PSPC1",0.53549590436446,10.4479961818378,4.14599731784276,0.000337214886923461,0.00129812498273078,-1.3423864689255,0.0138263733289616,"PSPC1",0.000443628010114074,0.0667536371683254,3.47209326095714,"+","","+"
"LRRC20",0.532803313667534,14.9490139289409,7.4908578661492,7.36449877142652e-08,8.93413558584496e-07,7.16319541423945,0.00015833986046116,"LRRC20",3.05319814714614e-07,0.00151109006833434,7.13285680594439,"+","+","+"
"AKT2",0.532479544500285,10.653116104379,3.16402532839672,0.00431438949382165,0.0117195447144796,-3.77307404979969,0.0550355020545226,"AKT2",0.00400509840754353,0.203837829731045,2.36508065029009,"","","+"
"SMAD2",0.52974756414007,10.7498328356316,4.80603888941271,9.33181630528953e-05,0.000418919158871411,0.101540676478031,0.007329922808368,"SMAD2",0.000143163620854009,0.0392988183527296,4.03003381878359,"+","+","+"
"ARL6IP5",0.529342356517342,14.6758153472218,6.07986230310883,2.30682289620293e-06,1.71543739008545e-05,3.659150636536,0.00103777852907421,"ARL6IP5",5.86242531314657e-06,0.00722909958330769,5.63698574668145,"+","+","+"
"MCM7",0.52760998340535,13.2515550165128,1.91130989881957,0.0798636360135851,0.139420481650545,-5.44214009459333,0.263553274025158,"MCM7",0.0476462834215436,0.658423231705086,1.09765092123047,"","","+"
"RPS8",0.526851854230188,11.3989290830978,4.61676211407536,9.9427250423369e-05,0.000444087703529025,-0.128782469948021,0.0077853530908241,"RPS8",0.000151764850729761,0.0411258990814655,4.00249457046629,"+","+","+"
"PFKFB1",0.526815606368267,12.889376003754,7.70731514913132,4.43719976746857e-08,5.96976227301545e-07,7.68049036329703,0.000133777248598921,"PFKFB1",2.04013773193144e-07,0.00129831953470749,7.35289101844228,"+","+","+"
"CACNG1",0.526515969645278,14.3248651012837,5.31188147257993,1.63875767205689e-05,9.32756106381487e-05,1.67855108515675,0.0030224949715395,"CACNG1",3.18764942436662e-05,0.0181033537730493,4.78548526209107,"+","+","+"
"MIA3",0.526429073508893,10.14793991646,5.0913840015383,7.44977159577588e-05,0.000346808066320428,0.536134770202731,0.00671391813899614,"MIA3",0.000118519999537787,0.036336384937516,4.12785704217987,"+","+","+"
