"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"GTPBP3",3.00649974039959,17.1144003192772,2.78399868936433,0.0234596182242287,0.359215916250718,-3.14693764931765,1.25999937559604e-05,"GTPBP3",0.286862174851854,0.018112491024193,1.62967905975927,"+","+",""
"MYH7B",1.50490126922228,15.0985407273381,1.36065129276828,0.194960321903725,0.699433531843331,-4.84278744726128,0.0853963257509442,"MYH7B",0.558552711703488,0.999999864459823,0.710053766748567,"","",""
"THY1",1.40718607620022,12.1430952596187,5.99387669130469,4.03557415754933e-06,0.0100927986040087,4.08213450427357,2.56746829848229e-08,"THY1",0.00805989386023457,7.38147135813658e-05,5.39409466770367,"+","+","+"
"GCC2",1.34799416118997,11.8142984997118,1.56042208725654,0.178139757875725,0.675882378601618,-4.41288979791204,0.0977304752832009,"GCC2",0.539745262663642,0.999999864459823,0.749239142304965,"","",""
"ENG",1.07571133097295,11.9870007444757,2.63558276357232,0.0562377815812975,0.481215875470739,-3.85350923864537,0.0452263095123589,"ENG",0.384288742134765,0.999999864459823,1.24997181931831,"+","",""
"UCHL5",1.02710432234129,8.53211013520979,2.06985870882027,0.0649926758878056,0.509138809747796,-3.89630033189067,0.0603514783220185,"UCHL5",0.406587402334919,0.999999864459823,1.18713558182991,"","",""
"CALML5",0.963112565846421,9.08291439838642,3.19398914085745,0.0107664489642102,0.300519813321402,-2.58406502607864,0.012725190209337,"CALML5",0.239988718025738,0.999999864459823,1.96792751393018,"+","",""
"S100A13",0.936039343906161,13.5109843927431,4.60474881081526,0.000102802668189372,0.0422225244349206,1.31935362399974,0.000184960590226891,"S100A13",0.0337180081371539,0.132940424225578,3.98799561330881,"+","","+"
"LCN1",0.920640605313217,11.5064168347239,2.5795772678781,0.0294339525056775,0.37443634271603,-3.30520640309847,0.0389367621532312,"LCN1",0.299016883038461,0.999999864459823,1.53115141523142,"+","",""
"YBX1",0.905497701494475,8.68512709301344,3.28418664242562,0.00352016756161201,0.191043424135814,-1.73625013662865,0.00600369665109598,"YBX1",0.152563206861064,0.999999864459823,2.45343666341065,"+","",""
"SRP54",0.899080415579276,14.1890046847212,2.99937184042333,0.00949359209970314,0.298342511788536,-2.48583158890166,0.0151896383717846,"SRP54",0.238249971425796,0.999999864459823,2.02256943205032,"+","",""
"IGFN1",0.852927416354225,12.5032194541304,2.17591607198905,0.0416523744191406,0.420177461245717,-3.79678372098787,0.0664741679454097,"IGFN1",0.335544765428907,0.999999864459823,1.38036023632831,"","",""
"ADGRE5",0.849222662266707,10.2685443658463,1.82955549493598,0.0942519385096758,0.579040412170073,-4.1827142721302,0.134568704178609,"ADGRE5",0.462409332236512,0.999999864459823,1.02570970875721,"","",""
"SERPINH1",0.796431967226574,11.8181962848932,5.64305149717204,7.02107728974519e-06,0.0100927986040087,3.66137398474104,7.86160471318974e-05,"SERPINH1",0.00805989386023457,0.0753403785014017,5.15359624611857,"+","","+"
"BGN",0.796385880047408,13.3760633270714,4.96677014609478,4.01462366350393e-05,0.0263300557113069,2.14367485363127,0.000315358707527185,"BGN",0.0210266213261114,0.181331256828131,4.39635515985577,"+","","+"
"MYBPC2",0.720075952679396,13.4171476124949,2.00745026228146,0.0555775126276728,0.480641726658731,-4.13030208145232,0.12480501248431,"MYBPC2",0.383830239130164,0.999999864459823,1.25510089397911,"","",""
"PECAM1",0.699452219866679,9.30767754753045,3.15225702023724,0.00521840565826062,0.225484470828453,-2.04882850332695,0.0253236774315188,"PECAM1",0.180067092717638,0.999999864459823,2.28246216358452,"+","",""
"IKBKB",0.68982574399255,11.6607055639402,1.51095807022043,0.154518685501237,0.651871547089605,-4.60858751868459,0.275764411697877,"IKBKB",0.520570724354125,0.999999864459823,0.811018995078003,"","",""
"EIF1AY",0.682025821878458,9.65172994234274,1.67000771502751,0.114227405961305,0.601472146774272,-4.50928595587048,0.227706288323518,"EIF1AY",0.480322837410288,0.999999864459823,0.942229685671345,"","",""
"RPL19",0.660196310567018,9.30324834399051,2.60805065551646,0.0160175654471362,0.326599295464656,-3.04379275642546,0.065265134606,"RPL19",0.260815236640805,0.999999864459823,1.79540349282247,"","",""
