"","logFC","AveExpr","t","P.Value","adj.P.Val","B","xiao","protein","q","qiao","-log10p","regulated_xiao","regulated_qiao","regulated_q"
"IDH3G",0.159959600099715,14.2935704708982,1.79060876708286,0.085739620393874,0.484402480155423,-4.49328991349977,0.675075191636754,"IDH3G",0.410468935132501,0.999999955750193,1.06681844362934,"","",""
"ATP1B4",0.159952996257667,12.3378031366595,0.831831130436626,0.413550259071732,0.782815853161824,-5.61973713348122,0.868285507222108,"ATP1B4",0.66333597125489,0.999999955750193,0.38347170277135,"","",""
"COA5",0.159292930508776,11.3883740771335,1.01856982672406,0.31879497851149,0.718993056306789,-5.43563242677575,0.833513978159517,"COA5",0.60925434175155,0.999999955750193,0.49648852799715,"","",""
"MFF",0.159222729308588,11.0126334239894,1.23462263081976,0.229192357113094,0.650208752244755,-5.21259199650949,0.790914101236954,"MFF",0.55096847163562,0.999999955750193,0.63979986889903,"","",""
"BCL2L13",0.159119904913428,14.639359264731,2.11984320695356,0.0443486273126969,0.389372810442669,-3.95830383892615,0.60910435300177,"BCL2L13",0.329943485881143,0.999999955750193,1.35311981799115,"","",""
"RPS12",0.159066895188724,15.5994051107458,1.6470511649868,0.112334078319479,0.531319833369395,-4.70549169667776,0.706265214331176,"RPS12",0.450225370745291,0.999999955750193,0.949488473649816,"","",""
"POLR1B",0.158807167312611,12.2573810978923,0.841507412343534,0.413759879483511,0.782815853161824,-5.3615932092682,0.869234380223698,"POLR1B",0.66333597125489,0.999999955750193,0.383251623297317,"","",""
"MRPS35",0.158527176887025,11.1091853525558,1.18458692298202,0.247561595308975,0.661082982610873,-5.28924646578609,0.801460865233249,"MRPS35",0.560182986303947,0.999999955750193,0.606316727337874,"","",""
"S100A6",0.158453716603388,12.0159078596403,0.851074665747031,0.402981483996997,0.775442252382961,-5.6044742827405,0.865876505599531,"S100A6",0.657087790901186,0.999999955750193,0.394714908158319,"","",""
"MAPT",0.158256498147875,13.2632027446633,1.10946138679838,0.278018181810853,0.690015792294254,-5.36842111097104,0.81662180344774,"MAPT",0.584699829358339,0.999999955750193,0.555926801197322,"","",""
"PFKM",0.158238099174195,17.5407453900522,1.61916494056104,0.118232718432067,0.536383620524788,-4.74510836927753,0.713299258030927,"PFKM",0.454516280487836,0.999999955750193,0.927262324907894,"","",""
"CPTP",0.158068451239187,12.075299238567,1.54899148974406,0.13422406364664,0.553537025617752,-4.84241088044209,0.728010259098629,"CPTP",0.469051589886223,0.999999955750193,0.872169617012821,"","",""
