"","protein","cor","p_value"
"ATP1B1","ATP1B1",0.123642789516484,0.423932275177757
"ARG1","ARG1",0.222166225175622,0.147213648026981
"APOD","APOD",-0.0337724656514924,0.829770208321768
"ALDH2","ALDH2",-0.22226303382852,0.147032914382056
"S100A8","S100A8",-0.136938878981005,0.37540967178649
"SLC25A5","SLC25A5",0.36597999190495,0.0604586302578793
"SERPING1","SERPING1",-0.159712537110847,0.300397916294573
"MPO","MPO",0.0389325488845147,0.838151468605951
"PCCA","PCCA",-0.00712893163715802,0.963368290324587
"PCCB","PCCB",0.00268584789817475,0.986194873407572
"EIF2S1","EIF2S1",-0.0692036725264196,0.65533296206216
"RPLP1","RPLP1",0.203457029370855,0.185292879546643
"RPLP2","RPLP2",0.108082597282537,0.484958782913565
"RPLP0","RPLP0",0.0741103420510069,0.632579995653269
"FABP3","FABP3",-0.105542841324101,0.495336519099543
"CLEC3B","CLEC3B",-0.214697358081997,0.161655904966134
"SSB","SSB",0.0919112135339518,0.552928984902352
"SERPINA7","SERPINA7",-0.421506839788422,0.00752963088444336
"SERPIND1","SERPIND1",-0.212474565581097,0.188078942206797
"ITGB1","ITGB1",-0.182438114201669,0.235899566797206
"MYL1","MYL1",0.0907016263835997,0.558187942863917
"UROD","UROD",-0.164583472646626,0.285702980649603
"IGKV2-30","IGKV2-30",-0.516927164210878,0.000539270376311766
"IGKV4-1","IGKV4-1",-0.178242365699878,0.258748369021877
"GSN","GSN",-0.00720758898671189,0.962964391265414
"PTMA","PTMA",0.0892115801352055,0.645368196899409
"ATP5F1B","ATP5F1B",0.0292636879673311,0.850433435320204
"S100A9","S100A9",-0.0777451522280445,0.61593687153183
"S100A6","S100A6",-0.0700669391671112,0.651306687429012
"APOA4","APOA4",-0.0540063830920062,0.727705745875033
"EIF4E","EIF4E",-0.065226419520846,0.674006344796326
"CKM","CKM",0.0329477156413645,0.831860307452552
"ENO1","ENO1",0.115651490844264,0.454717001919735
"PYGL","PYGL",0.231446591567797,0.174401552974471
"GPI","GPI",0.22123897452429,0.148953046957821
"NPM1","NPM1",0.12837452324331,0.40627307621393
"TPM3","TPM3",-0.178008066058657,0.247664463847077
"ITGAV","ITGAV",-0.14735227056503,0.339825580938058
"EPHX1","EPHX1",0.199181311497274,0.194900826776821
"DBI","DBI",-0.0616707809322547,0.690866133346582
"LDHB","LDHB",-0.142494983468267,0.35615605895278
"GPX1","GPX1",-0.239445346931026,0.117478380404916
"PGK2","PGK2",0.102318780569541,0.51382389680909
"P4HB","P4HB",-0.0301351229250989,0.84603245425473
"H1-0","H1-0",-0.0813007160672755,0.599838636111102
"CTSD","CTSD",-0.0186306428328353,0.904455966815532
"ANXA2","ANXA2",-0.0647304123433039,0.676349043945616
"C8A","C8A",0.0455444093742768,0.769092151247881
"CAPN1","CAPN1",0.121481199906139,0.432141217213483
"TUBB","TUBB",-0.193948596263126,0.207131738876062
"CA3","CA3",-0.10361247721348,0.503299966875573
"DCN","DCN",-0.108201940401096,0.484473941971672
"PSAP","PSAP",-0.0905745614880492,0.558741743997215
"HEXB","HEXB",0.119753439491911,0.480202444047274
"CTSL","CTSL",0.0457632467403758,0.790987989001342
"PFN1","PFN1",-0.00689255350912369,0.964582126808395
"BPGM","BPGM",0.0573059435277614,0.711765987371878
"APRT","APRT",-0.208126829274074,0.175190522220057
"EPRS1","EPRS1",0.0906165294822467,0.558558801749802
"CTSB","CTSB",0.128232433903008,0.406797118287834
"HSP90AA1","HSP90AA1",0.156666139450849,0.309830832564445
"GALT","GALT",-0.0972646623508313,0.529939012606652
"HNRNPC","HNRNPC",0.147868168272407,0.338118727400277
"UQCRH","UQCRH",0.139564900885782,0.366233716639197
"LAMB1","LAMB1",-0.204470770367343,0.183065306535066
"TPM2","TPM2",-0.0646534909728269,0.676712623728454
"FH","FH",-0.00412345773286878,0.978807012336724
"ANXA6","ANXA6",0.0886836040975395,0.567013563172566
"RHOC","RHOC",-0.405934110689291,0.00845551235727947
"SERPINA6","SERPINA6",-0.493221126377703,0.031885820589739
"GUSB","GUSB",0.0715802324806543,0.644272341141511
"PFKM","PFKM",0.238809507727059,0.118485046763683
"HSP90AB1","HSP90AB1",0.055593773247381,0.720022609638079
"SRPRA","SRPRA",0.0767551169973612,0.633377578096634
"SOD3","SOD3",-0.0954264139910406,0.537780157464671
"CTSG","CTSG",-0.124788112290313,0.41961863469616
"HMBS","HMBS",0.0904309104258639,0.559368144107054
"MME","MME",0.176542891547286,0.251641141519478
"PDHA1","PDHA1",0.0834575982716516,0.590163488789188
"COL4A2","COL4A2",0.00330704024581594,0.983002397016309
"CYC1","CYC1",-0.0075654736001519,0.961126800173886
"MYL3","MYL3",-0.164722478188558,0.285290616033773
"CFH","CFH",-0.196594454719373,0.200881912034131
"NFIC","NFIC",-0.0874222375387804,0.622980288348831
"VIM","VIM",-0.278579320458807,0.0670817741683114
"RPS17","RPS17",0.106528491174381,0.491295521407871
"ANXA5","ANXA5",0.00366397929572116,0.981168105691439
"KRT16","KRT16",0.326434904960057,0.0305706133159462
"RPSA","RPSA",0.171662998069067,0.265194141687958
"CD63","CD63",0.0111372278847829,0.953421447677759
"MRPL3","MRPL3",0.0695666209576498,0.657567342790235
"ENO2","ENO2",0.186141168065048,0.226362353244814
"ACAA1","ACAA1",0.0318556892234934,0.83735683402362
"GSTP1","GSTP1",0.116354146487197,0.451962483612004
"SNRPC","SNRPC",0.188722174359124,0.237326386845661
"LGALS1","LGALS1",0.0327670734352278,0.832768999329183
"QDPR","QDPR",0.197887299764736,0.197876785652944
"HMGB1","HMGB1",-0.0220745521995924,0.886900012624765
"RBP1","RBP1",-0.126159343659106,0.463449303584816
"SPARC","SPARC",0.0828952922990089,0.59717033938718
"GSTM1","GSTM1",-0.106357739623943,0.491994349621911
"TPM1","TPM1",0.0663805891579758,0.668566878937651
"CLTB","CLTB",0.0125267408544351,0.935677369219326
"ANXA4","ANXA4",-0.285763630633987,0.0600543814281735
"CNP","CNP",-0.0884163425458531,0.577661805758399
"HMOX1","HMOX1",0.380725824826161,0.0379296798767742
"DLD","DLD",-0.00602180384875925,0.969054216068968
"HNRNPA1","HNRNPA1",0.0144837619138919,0.925654588461601
"CTSH","CTSH",0.0949023041170872,0.555047554718018
"COX6C","COX6C",0.0755967289530582,0.625751797333796
"PARP1","PARP1",-0.253030175677748,0.097482241003087
"UCHL1","UCHL1",-0.0881714571587313,0.569263595130025
"LTA4H","LTA4H",0.0692308027437446,0.655206278925878
"ALDOC","ALDOC",-0.142248101062725,0.374977718603307
"C4A","C4A",-0.148580356359153,0.335771180874711
"H2AZ1","H2AZ1",-0.126337509721399,0.41950479420595
"GSTT2","GSTT2",0.0607283231385546,0.713433665481621
"POTEI","POTEI",-0.0315123220104816,0.839086708808289
"POTEJ","POTEJ",0.243965549674978,0.110507469205015
"SLC35E2B","SLC35E2B",0.0544000735565278,0.725797747312779
"SAA1","SAA1",-0.098928800232247,0.715475867546384
"SULT1A3","SULT1A3",0.0928648886296972,0.548799244269674
"HSPA1A","HSPA1A",-0.151180447372678,0.327286768142524
"IGLC2","IGLC2",-0.406364959592125,0.00619767160919346
"CALM1","CALM1",0.10684002132717,0.490021859068795
"TUBA3C","TUBA3C",0.0890628078430447,0.565350246268322
"RO60","RO60",0.00447768602507781,0.976986882483764
"GAA","GAA",0.0110815992027019,0.943084984460117
"RRAS","RRAS",-0.117042700827026,0.449272088344354
"HLA-C","HLA-C",0.215271483411099,0.253268600312311
"DLAT","DLAT",0.169664548531458,0.270881751301358
"TXN","TXN",-0.052612411740059,0.734474565708404
"COX5B","COX5B",-0.0236529519428417,0.878871162486583
"CTSA","CTSA",-0.157904620507734,0.330487908076516
"MAPT","MAPT",0.109989588076491,0.47724188343695
"PRKAR1A","PRKAR1A",0.327901016703389,0.0297875368334144
"ESD","ESD",-0.0469474191857971,0.762182709018948
"HSPD1","HSPD1",0.0352634031158015,0.820231186604185
"CLU","CLU",-0.255383940792073,0.0943017062816479
"MYL2","MYL2",-0.158568898740223,0.303917232263887
"HSPA5","HSPA5",-0.0112583930166148,0.942178494264793
"LAMC1","LAMC1",-0.0972782821685034,0.529881126243519
"MYH3","MYH3",-0.126240557221857,0.414184211677088
"HSPA8","HSPA8",0.084301145756953,0.586398520837979
"SLC2A1","SLC2A1",0.0282909968548003,0.855351090524576
"EPB41","EPB41",0.00838367795923876,0.956926418226738
"PDHB","PDHB",0.18126465099163,0.238978150881332
"DBT","DBT",-0.148166456967338,0.337134261235048
"PYGB","PYGB",0.229263243259353,0.134393183784152
"PYGM","PYGM",0.268173276892188,0.0783997084322384
"RALA","RALA",-0.0712316175617646,0.645890141034528
"RALB","RALB",0.412722530556552,0.0323942126091576
"SPTB","SPTB",-0.0218157279812314,0.888217664517135
"LAMP1","LAMP1",0.136693152483769,0.496586055543019
"ACADM","ACADM",-0.0793937905740788,0.608449693467628
"G6PD","G6PD",0.0196893669911629,0.920784440455562
"UBL4A","UBL4A",0.0788371458485473,0.780029872965417
"DMD","DMD",0.0605725267413921,0.696104211575801
"MTHFD1","MTHFD1",-0.126598694639561,0.412850410575399
"ADH5","ADH5",0.00497941193488793,0.974409065977893
"CDK4","CDK4",-0.31775556832996,0.106276951345726
"PCNA","PCNA",-0.224776001530292,0.2161473398274
"HARS1","HARS1",-0.0643817335239086,0.677997705044237
"COL6A1","COL6A1",-0.242426577523036,0.11284454786116
"COL6A2","COL6A2",-0.241186783532583,0.114754444682044
"COL6A3","COL6A3",-0.245695068754334,0.107925193563326
"SLC25A4","SLC25A4",0.134062272822618,0.385616712518577
"SLC25A6","SLC25A6",0.035419809673501,0.823777576316236
"IMPDH2","IMPDH2",-0.111955813991639,0.469353618700057
"TPR","TPR",-0.188669063201728,0.220006106511074
"PIP","PIP",0.0239972452899104,0.877121410103648
"CKB","CKB",-0.141327422176123,0.360151370466739
"ANXA3","ANXA3",-0.32424994470708,0.0317691931032186
"BCKDHA","BCKDHA",-0.0403093299859878,0.795025838142182
"ACTN1","ACTN1",0.0338643424365098,0.827252723171665
"ACE","ACE",0.363230890702478,0.0574491144264751
"MYL4","MYL4",0.0190427206658111,0.902352786458315
"MYH1","MYH1",0.211558894438069,0.168022641543698
"MYH7","MYH7",-0.168410694520281,0.274491059465546
"PEPD","PEPD",0.133009875806702,0.389391355306134
"XRCC6","XRCC6",0.0404149064510904,0.794500564937082
"XRCC5","XRCC5",0.113877009645236,0.461713644200143
"COX4I1","COX4I1",0.0578979635085868,0.70891858765724
"LAMP2","LAMP2",-0.106383426978823,0.491889187151059
"RNH1","RNH1",0.0874160753872058,0.572589716563092
"MYH6","MYH6",-0.18917496211333,0.236182203766266
"MYH8","MYH8",0.0578350540494065,0.709220973895293
"VCAN","VCAN",-0.390012007619425,0.0804983006163905
"EEF2","EEF2",0.244070509173802,0.110349430348358
"KRT10","KRT10",0.192634708615109,0.210285303827496
"KRT5","KRT5",0.2470712985888,0.105903495986691
"PDIA4","PDIA4",-0.127046319683949,0.411186786868116
"P4HA1","P4HA1",-0.0517770012997841,0.744692718193671
"TPT1","TPT1",0.107544630258225,0.487147457532524
"ALAD","ALAD",0.0131089248960413,0.932694647504558
"PLS3","PLS3",-0.191443858130558,0.213172350839209
"APEH","APEH",0.302651441008098,0.0458389773464217
"ETFA","ETFA",-0.0902037141147845,0.560359518888126
"TNNT1","TNNT1",-0.179270545150427,0.244272110491402
"GYS1","GYS1",0.325975192305301,0.0308196340537155
"PRKAR2A","PRKAR2A",0.0406747087077538,0.793208356964685
"ENO3","ENO3",0.15586466943528,0.312343499302698
"CD59","CD59",-0.0576268564301962,0.710222029877701
"MIF","MIF",-0.064241541405885,0.67866099623272
"PRKCSH","PRKCSH",-0.125694634992561,0.416222093910059
"FDPS","FDPS",0.122930863182696,0.426626158167925
"COX7A2","COX7A2",-0.0409294284882319,0.791941959313025
"NID1","NID1",-0.190852360099495,0.21461655535599
"AKR1A1","AKR1A1",0.0116581937259917,0.940128829464495
"PKM","PKM",0.173875014047595,0.258991819874354
"ACYP2","ACYP2",-0.0380257407418288,0.806408899459611
"HSP90B1","HSP90B1",-0.107289953645045,0.488185378525889
"MYL6B","MYL6B",-0.172839866349702,0.26188212825384
"SLC2A4","SLC2A4",0.119769897906728,0.438702561772748
"SNRPB","SNRPB",-0.254441571620124,0.253161144840357
"IDE","IDE",0.198527835107603,0.196399707904523
"COX6B1","COX6B1",0.0623242351780647,0.687756246548864
"HNRNPL","HNRNPL",-0.0412308215957878,0.790444197918375
"DARS1","DARS1",0.269288473573356,0.0771195369348742
"JUP","JUP",0.337046461233559,0.0252692036811401
"UQCRB","UQCRB",0.104902357386199,0.497971534762247
"CPA3","CPA3",-0.170261839473126,0.269173480067947
"FABP4","FABP4",-0.0905315294655719,0.558929353563343
"GLUL","GLUL",-0.140132297935377,0.364268962123657
"AKR1B1","AKR1B1",0.0825758031571592,0.59411059426543
"GSPT1","GSPT1",0.396994435121554,0.00762614526032438
"PGAM2","PGAM2",0.179250320944177,0.244326205016168
"EZR","EZR",0.135544825801633,0.380335934669538
"UCHL3","UCHL3",0.0367437710333247,0.812816691905147
"NME1","NME1",0.169550208553545,0.271209581976976
"ARSB","ARSB",-0.264549708612811,0.246505834947424
"RPS2","RPS2",0.164000649163178,0.287436170753932
"DSP","DSP",0.240793450994562,0.119839898656617
"RPA2","RPA2",-0.358154460427424,0.0346378441507462
"COX7C","COX7C",-0.0588492992297635,0.704351224400273
"CD44","CD44",-0.348782620329384,0.0203218906561382
"NQO2","NQO2",-0.0565710786025419,0.715305811556316
"PFKFB1","PFKFB1",0.361106767585228,0.016029789297875
"CBR1","CBR1",0.409872755126751,0.00572608554777719
"ANK1","ANK1",-0.00195803583947958,0.989935564958742
"ACADS","ACADS",-0.178522515382514,0.246278292766721
"PECAM1","PECAM1",0.0160944939103193,0.939134867667494
"PPP3CB","PPP3CB",0.0874321105306386,0.572519017817438
"NCK1","NCK1",-0.122720655876418,0.450608980586703
"H1-2","H1-2",0.0655021854331058,0.672705185400917
"POR","POR",-0.368206630167447,0.0178531693605556
"EPB42","EPB42",0.144325059205359,0.380710820249329
"ATP2A2","ATP2A2",-0.154731599653375,0.315917766138716
"CD36","CD36",-0.266213143592927,0.0806901418033852
"FAH","FAH",-0.104189148316406,0.500914185511526
"YBX3","YBX3",0.0226963395460683,0.883735784339692
"TMEM11","TMEM11",0.00741969915547713,0.961875268825459
"GOT1","GOT1",0.146161314753099,0.343786158822169
"UBTF","UBTF",0.247793683555858,0.104853954818602
"CKMT2","CKMT2",0.061386944075282,0.692218527089263
"NDUFB7","NDUFB7",-0.0864357180889876,0.576919667606443
"PRKACA","PRKACA",0.35919744664409,0.0166395471406663
"CAPN2","CAPN2",-0.00689759072460908,0.964556259130778
"DES","DES",0.0675831752411948,0.662917019932524
"ENG","ENG",0.184988531379134,0.398095165272506
"PFKL","PFKL",0.0943603871760972,0.542352922029164
"LGALS3","LGALS3",0.157372639505677,0.307626604644227
"PSMC3","PSMC3",0.184629364865883,0.230223456725702
"TCP1","TCP1",0.28615001458102,0.0596937891389382
"RPL7","RPL7",0.0697092533884188,0.652973752777115
"VCL","VCL",0.1361514941437,0.378187422209466
"RPL17","RPL17",0.156323845834919,0.310902369376118
"PGAM1","PGAM1",0.186255857092943,0.22607126891378
"RCC1","RCC1",-0.187740599613005,0.233809855803898
"ATP5PF","ATP5PF",-0.00420784681856357,0.978373386234862
"TNNI1","TNNI1",-0.184039780822002,0.231741397800844
"NCL","NCL",0.00369480211128562,0.981009713203021
"HK1","HK1",0.224831779278379,0.142296814308082
"NDUFV2","NDUFV2",-0.0662194478946192,0.669325320199164
"TRIM21","TRIM21",-0.11937767398636,0.587450300113076
"ORM2","ORM2",-0.104870957597207,0.498100901251009
"ITIH2","ITIH2",-0.218501658392056,0.1541760400729
"ITIH1","ITIH1",-0.131573149423755,0.406212008124165
"TYMP","TYMP",0.0595548735233881,0.704422966068333
"ATP2B1","ATP2B1",-0.068036906039554,0.66464858953578
"HLA-DPA1","HLA-DPA1",0.0434071764609745,0.829784022059001
"EIF2S2","EIF2S2",0.007990384961782,0.958945313326599
"ANXA7","ANXA7",-0.0283051150640223,0.85527967358999
"TPSB2","TPSB2",-0.228897200783517,0.135033360418454
"BTF3","BTF3",0.00198577717127507,0.990168751270788
"RAB4A","RAB4A",0.0047186858703109,0.97788737577019
"RAB6A","RAB6A",-0.310181480205465,0.0546362925377741
"PVALB","PVALB",0.129014166748951,0.496845388831734
"PSMB1","PSMB1",0.103070602057524,0.50554705121926
"COX5A","COX5A",-0.0493252812329655,0.750514256048571
"LMNB1","LMNB1",0.326885251264722,0.0395146779645277
"OGN","OGN",-0.0390555447712658,0.801270566085388
"CAPN3","CAPN3",0.0406088354180578,0.793535946788518
"CAST","CAST",-0.0112148831398054,0.942401579562596
"NEB","NEB",0.0769999644914478,0.619333834360719
"FLG","FLG",0.275172440051963,0.0706347068586928
"PTMS","PTMS",-0.0938686928196421,0.621740453442472
"GSTM3","GSTM3",-0.0491714844210479,0.751267325114392
"ATP6V1B2","ATP6V1B2",0.242909136054451,0.112107731596289
"CSRP1","CSRP1",-0.166627006325653,0.279679839065996
"FLNA","FLNA",-0.0788082662443833,0.611104338811462
"MAOA","MAOA",-0.158578231717005,0.328402726763567
"ACO1","ACO1",0.131919704599654,0.393324234941275
"GPD1","GPD1",0.233373573654049,0.127359084537479
"VDAC1","VDAC1",0.0630376089196391,0.684366997518731
"BGN","BGN",-0.0885184692296543,0.5677386067508
"RYR1","RYR1",0.189473587695457,0.218009324728446
"SDHB","SDHB",0.117922032644497,0.445849033970683
"CD9","CD9",0.040719241635467,0.792986913313406
"BCKDHB","BCKDHB",0.0819612203439089,0.610446281586948
"COMT","COMT",-0.115688235265515,0.454572732653271
"TGM2","TGM2",-0.192648650268936,0.210251666590052
"MMUT","MMUT",-0.04852909308984,0.754415268506734
"OSBP","OSBP",0.331084476826888,0.0281443074888583
"PCMT1","PCMT1",0.0107500213124212,0.944785303120954
"FBL","FBL",-0.0309361283487282,0.847736118171517
"GART","GART",0.241952654946294,0.113571752141409
"TNXB","TNXB",-0.223772186392732,0.144236558447877
"PAICS","PAICS",0.00202968710704528,0.989567292528311
"ACHE","ACHE",-0.269305524332617,0.192985528847835
"SCP2","SCP2",0.109332358518663,0.479894113749568
"UBA1","UBA1",-0.145365289791095,0.346449146297193
"GPX3","GPX3",-0.215937019164084,0.159190096072499
"NME2","NME2",0.128354471384442,0.406347006262381
"HNRNPA2B1","HNRNPA2B1",-0.135967789862219,0.378837248109387
"UQCRC2","UQCRC2",0.121140725709136,0.433442253939857
"CA4","CA4",-0.151237763527698,0.345225470334824
"FECH","FECH",0.00719351180297278,0.963036675782932
"AMPD1","AMPD1",0.23152194174161,0.130492852726435
"ITGA6","ITGA6",0.257763665358288,0.223966998580055
"SFPQ","SFPQ",-0.0758544037204418,0.624571203984623
"TUBG1","TUBG1",0.0968493037674926,0.552173857446628
"PPIB","PPIB",0.083694612105619,0.589104552067884
"S100A1","S100A1",-0.0942132537043402,0.542985520967182
"HRC","HRC",-0.0670041308461686,0.665635140411093
"ME2","ME2",0.133999181358887,0.385842394327817
"WARS1","WARS1",-0.274079534082901,0.0718054452237931
"RPS3","RPS3",0.21198282028098,0.167152219881419
"AHCY","AHCY",0.290061456890491,0.0561400428972003
"CFL1","CFL1",-0.0366089668084702,0.813491206907095
"EIF4B","EIF4B",0.172214554143322,0.269469493807577
"CPT2","CPT2",0.0582558579130836,0.707199142628104
"DTYMK","DTYMK",0.114642465222428,0.487089765269405
"CMA1","CMA1",-0.117437154807131,0.447734787926589
"LAMA2","LAMA2",-0.0616779836542251,0.690831826978224
"GPT","GPT",-0.149844049535721,0.331630698246193
"COX7A1","COX7A1",0.0197031450600588,0.898983467372659
"EEF1B2","EEF1B2",0.161807468626753,0.294019367363571
"ATP5PB","ATP5PB",0.0122717628498852,0.936983982451152
"ACP1","ACP1",-0.0337982751023953,0.827584632494369
"ACAT1","ACAT1",0.0227391965369189,0.883517753654824
"MYL9","MYL9",-0.126434948208831,0.413459942191956
"AZGP1","AZGP1",0.0970999928527347,0.530639128800036
"MPST","MPST",-0.257371994603601,0.0916783073604064
"RPS12","RPS12",-0.0934124397877265,0.546434809963242
"DNAJB2","DNAJB2",-0.146367628815854,0.343098025759266
"ATP5F1A","ATP5F1A",-0.0238483441785627,0.87787807821122
"PSMA1","PSMA1",0.0880130550386825,0.569960339239312
"PSMA2","PSMA2",0.18979273807205,0.21722070124875
"PSMA3","PSMA3",-0.022133948172506,0.886597675193954
"PSMA4","PSMA4",-0.0882383176520728,0.568969621699507
"MSN","MSN",0.0997890274363841,0.519263258512872
"DDX6","DDX6",0.0364153571178627,0.814460197843943
"U2AF2","U2AF2",0.0723115936682018,0.653222433195624
"RPL13","RPL13",0.216177117476153,0.169122117019699
"IVD","IVD",-0.0668282025104991,0.666461815509939
"S100A4","S100A4",-0.0675023433154166,0.663296201209693
"HMGB2","HMGB2",-0.284416815952254,0.071504244296816
"PTBP1","PTBP1",-0.0868707434904151,0.579638677880573
"VARS1","VARS1",0.113336088808235,0.463857915669804
"EEF1G","EEF1G",0.247247016305538,0.105647462664654
"PLN","PLN",-0.13777964574855,0.372457049403764
"FKBP2","FKBP2",-0.0396641006724502,0.798237977375545
"STOM","STOM",0.000890931446505475,0.995420460022805
"AK4","AK4",0.140437454717914,0.387404159046461
"PON1","PON1",0.00351714416139388,0.983046253310417
"MAOB","MAOB",-0.225214734969616,0.141600526846365
"YWHAQ","YWHAQ",-0.199877182367744,0.193313614796272
"MAPK3","MAPK3",0.06106157757107,0.693769960677092
"RPL10","RPL10",0.204023841798944,0.194973994431454
"RPA1","RPA1",0.035285483752665,0.820120479116297
"APEX1","APEX1",-0.077533963617739,0.616898781020966
"CALR","CALR",0.211801713206991,0.167523675868114
"MAP4","MAP4",0.105407631943804,0.495892185843178
"CANX","CANX",-0.108498875483512,0.483268719128544
"PSMB8","PSMB8",0.200434072510797,0.255711096154173
"PSMA5","PSMA5",0.0791230437149695,0.609676588156336
"PSMB4","PSMB4",0.187229476574613,0.223610559780179
"PSMB6","PSMB6",-0.0407410620917851,0.792878415168744
"PSMB5","PSMB5",-0.0497814190701181,0.748282117768239
"GSTM2","GSTM2",-0.167151519054878,0.278147399263415
"TMOD1","TMOD1",-0.103489562432801,0.503809231896265
"NDUFS1","NDUFS1",-0.0150439203239872,0.922787790931871
"MAPK1","MAPK1",-0.030195784942114,0.845726265423524
"LAP3","LAP3",0.215474026780658,0.160107804625023
"CD34","CD34",-0.254080948005864,0.118559443177803
"CD38","CD38",0.204830087403866,0.182280360944328
"TPP2","TPP2",0.343507107178827,0.0224344398337662
"IMPA1","IMPA1",0.140019901139935,0.364657658965401
"ARID4A","ARID4A",0.107184099314188,0.488617120127831
"TKT","TKT",-0.149900006777003,0.337341843354532
"NOS1","NOS1",-0.292996999342235,0.0535861127582628
"SERPINB3","SERPINB3",0.0814385036808278,0.603652350697159
"PML","PML",-0.156831399495532,0.368271261272249
"SERPINA4","SERPINA4",-0.166565036519293,0.279861257415414
"EEF1D","EEF1D",0.0153776326380077,0.921080363910866
"MARCKS","MARCKS",-0.0474083486102202,0.783649929477272
"AQP1","AQP1",0.0908282701068769,0.557636233454435
"GNA11","GNA11",-0.15660060656248,0.392041706328983
"ALDH4A1","ALDH4A1",-0.0512429027846882,0.741144023734681
"ERP29","ERP29",-0.29808329589751,0.0493829316454991
"PRDX6","PRDX6",-0.0987431953759294,0.523673152641001
"BLVRB","BLVRB",0.00080744173668326,0.995849607483967
"PRDX5","PRDX5",0.0827294317200876,0.593422083164964
"DDT","DDT",0.125502342421896,0.416941261946667
"PRDX3","PRDX3",0.0128825374082396,0.933854399617761
"ATP5F1D","ATP5F1D",-0.00510007342755205,0.973789156991886
"RPL12","RPL12",0.169007194042043,0.28463840971235
"ECHS1","ECHS1",0.0427665629637689,0.78282407689633
"CMPK1","CMPK1",0.258919093583441,0.0896761739517383
"PEBP1","PEBP1",-0.180253598516694,0.241652463936345
"PDIA3","PDIA3",-0.0840512219811936,0.587512875225034
"PPP2R1A","PPP2R1A",0.0675928311177005,0.662871729932789
"PPIF","PPIF",0.137483908183762,0.373494041701918
"NMT1","NMT1",0.155784959947169,0.402673064523366
"HMOX2","HMOX2",0.28570702608913,0.0601073533972862
"LRPAP1","LRPAP1",-0.15887443350311,0.308872028480336
"ADSL","ADSL",0.182269386898316,0.236340550848412
"CLIP1","CLIP1",0.120089270283191,0.437473878439742
"SRI","SRI",-0.0623015605206172,0.687864073800061
"GSTT1","GSTT1",0.335834008883642,0.0341231925005782
"SERPINB1","SERPINB1",0.0995221872663452,0.520386668255502
"ALDH1B1","ALDH1B1",-0.0979743585038084,0.526926822477803
"POLR2B","POLR2B",0.128332695133364,0.507045464392714
"LCN1","LCN1",-0.340481176591665,0.111890634129734
"SDHA","SDHA",0.151841954692355,0.325149789950708
"GDI1","GDI1",-0.0353566519970035,0.819763680612332
"S100A7","S100A7",0.0591578875950614,0.702871886693463
"MAT2A","MAT2A",-0.09126918835705,0.555717419703831
"PRKAR1B","PRKAR1B",0.262781282386814,0.116105450351672
"CASQ1","CASQ1",0.123918769013829,0.422890571566639
"AKT2","AKT2",0.0455543972724322,0.783028824277366
"UQCRC1","UQCRC1",0.118667495483211,0.442958354740877
"HIBADH","HIBADH",-0.0142350942341082,0.926927528674962
"ATIC","ATIC",0.152648515610136,0.322556087230279
"HNRNPH3","HNRNPH3",-0.137520582904076,0.373365349749665
"HNRNPH1","HNRNPH1",0.0474425201303924,0.759748795008277
"CASP14","CASP14",0.15945097566209,0.301200500311619
"YWHAB","YWHAB",-0.0767333095226442,0.620551300491673
"STIP1","STIP1",0.0402624946871192,0.795258885885392
"S100A11","S100A11",0.161104764956752,0.29614909521
"PRDX2","PRDX2",0.156450800840977,0.310504667097041
"GBP2","GBP2",0.101709496349993,0.57964418800312
"RPL9P9","RPL9P9",0.163815321293746,0.293871420647253
"ACSL1","ACSL1",-0.119624878566456,0.439261107705661
"KIF5B","KIF5B",0.235569475609784,0.123716196625033
"ABCC1","ABCC1",-0.0194625210864795,0.908973600563595
"MCM7","MCM7",0.412783158534752,0.0629273200111041
"SHMT1","SHMT1",-0.130289431679233,0.399248642524731
"SHMT2","SHMT2",0.133325258690007,0.388257901765374
"EPHX2","EPHX2",-0.382837997181371,0.0103207141104081
"HSPA4","HSPA4",0.0442492524526723,0.775486187493435
"MPI","MPI",0.0110556436419395,0.943218074657337
"PRSS3","PRSS3",-0.24428134001078,0.110032499625966
"GPC1","GPC1",-0.156791095622902,0.315340550959128
"PFN2","PFN2",-0.254547981355469,0.0954219878457283
"CA8","CA8",0.046759315475612,0.763108021985121
"CTNNA1","CTNNA1",-7.63240245558871e-06,0.999964228787246
"CTNNB1","CTNNB1",0.22932399765377,0.134287148794597
"PHB1","PHB1",-0.020312023115593,0.895878677345451
"SERPINB6","SERPINB6",0.000401624992084448,0.997935570161651
"RDX","RDX",0.0246576295319401,0.873766860517087
"RPA3","RPA3",0.0193205234770097,0.902129870264432
"RFC4","RFC4",0.0421627732422011,0.785817639753231
"RPL22","RPL22",0.161958344819637,0.293563391562529
"SPR","SPR",0.147473662646437,0.339423475675735
"THBS4","THBS4",-0.111368255862524,0.630798917932333
"KRT9","KRT9",0.252526916782542,0.0981728694114954
"FBN1","FBN1",0.0506548096639242,0.747009535734988
"AGL","AGL",0.302444669117684,0.0459948006286936
"MYH9","MYH9",0.00835191722741735,0.957089446210316
"MYH10","MYH10",0.184788257153505,0.247425700258999
"ACTN2","ACTN2",-0.179887553312575,0.242625667486053
"ADD1","ADD1",-0.0874487321791864,0.634133683044648
"BSG","BSG",0.231016692822006,0.131357882265121
