"","s02_t1_post","s02_t2_post","s03_t1_post","s03_t2_post","s05_t1_post","s05_t2_post","s08_t1_post","s08_t2_post","s11_t1_post","s11_t2_post","s13_t1_post","s13_t2_post","s14_t1_post","s14_t2_post","s15_t1_post","s15_t2_post","s16_t1_post","s16_t2_post","s17_t1_post","s17_t2_post","s18_t1_post","s18_t2_post","s20_t1_post","s20_t2_post","s21_t1_post","s21_t2_post","s22_t1_post","s22_t2_post","s23_t1_post","s23_t2_post","s24_t1_post","s24_t2_post","s25_t1_post","s25_t2_post","s26_t1_post","s26_t2_post","s27_t1_post","s27_t2_post","s28_t1_post","s28_t2_post","s29_t1_post","s29_t2_post","s30_t1_post","s30_t2_post","s31_t1_post","s31_t2_post"
"FSD2",-0.226968125369099,0.3067144229052,0.1250009204417,0.0774539308269997,-0.0513460980639007,-0.123577806176099,0.155364256637499,-0.136588775759801,0.102802582536199,0.170860480992699,0.4186488073842,0.0434517436088999,0.0559551013407003,0.0548241117102997,0.115854683153501,0.323042680983901,-0.1721302957818,0.0662727122328999,0.0609365241591,0.6839328555272,0.100668062863098,-0.0170111457284996,0.0924161105983003,-0.2386317294427,-0.135094452930598,-0.0990849169637009,0.167385662828099,-0.0129764265893009,0.1499980637536,0.0116874964597997,0.2630156331881,0.4223059282048,0.0846042759071999,0.3169429162866,0.179863339706801,0.0105079250197999,-0.149959163690699,NA,0.155639211764001,-0.0328261197462005,0.0217904449838002,0.0204530998056001,0.529376066675001,-0.136475784533699,0.219160014323199,0.390564182937299
"NBAS",0.829071810617201,0.644566894517499,NA,NA,NA,-0.5071107284185,1.1198085791493,-0.1038517479502,0.0570564368526991,-0.374854790794799,NA,NA,0.1038380229461,1.4976839441162,0.2008685373433,0.810493998538099,-0.1208786430042,0.4294301240694,NA,NA,0.817360799818001,0.2583972710996,0.4955681217257,NA,NA,NA,-0.3240029979382,NA,NA,NA,NA,0.396630371912901,0.2921838427739,-0.0947006296369004,0.2607349933684,0.472138976927999,NA,NA,0.0872672639032999,NA,0.0187123379036986,0.764824221639401,-0.0447969443506011,-0.363794608432499,NA,-0.413517266431199
"VWA8",-0.1394098890988,0.281972101540701,0.232253835837801,0.4406298625458,0.4536260926838,0.296089350721299,-0.2585863626795,0.6058715576655,0.5769748290029,0.3902964978741,-0.0575309832484994,-0.529799249718199,-0.21738026697,-0.218817962625799,-0.0872972417679012,0.0777192754453999,0.0290450138432998,-0.1329891907502,0.516054493936501,-0.2785530875536,0.3612525939606,0.4606274975998,0.211795139167,1.1526023159406,0.221028580739501,0.0542051639082999,-0.1309843518764,-0.559929165408899,0.314776049358299,0.280950676445601,0.280400184025901,0.7545802440219,0.0133681208030989,0.753787843878101,0.0580237723279993,-0.1881632668726,0.531917496044398,0.2759258980307,0.102539410264599,-0.276331378582801,-0.4358609548073,-0.5109114082404,-0.411556739900101,-0.3651383128561,-0.161406177438201,-0.440741997289001
"XIRP2",0.4687667383162,-0.427526381054701,0.092757530011399,0.0511524624819995,-0.2619788701844,0.234001118651799,-2.4352607933296,0.373342817559701,2.051682612512,2.3382127585243,0.448212704796001,1.1465331885731,-0.219468203574701,-1.2450461043795,-0.218681985412001,1.0508048702243,0.441137115948299,0.1338440092726,-0.1234611835878,-2.8061620535863,-1.601175000751,-2.9963572603253,-1.1266839633054,0.1640397049929,-0.6794011824674,-0.4257512617688,0.743526595881701,-1.9313666874067,-0.360779907572001,-1.0144661872525,0.1267193635616,-0.0980373848048988,-2.1805416479215,-2.5300627181287,0.5065443708183,-0.1743739104,0.990229015563999,0.0477010037987,-0.423882195331201,-1.0557522305946,-0.6367499910204,-0.874359075666201,-0.100868095519401,-0.145440313983102,0.0217694153484995,0.176185729244001
"POTEF",-0.2358540847091,0.2706613839305,-0.281581694762799,0.188400751005402,-0.00775816878359947,-0.335101332432,-0.0617310743468007,-0.3593629312427,0.3757890897874,0.0121250164377003,0.3227450118523,-0.690619175327001,-0.304799242607599,-0.527276214698899,-0.0425747192791004,-0.279967525915501,0.4726660904283,0.0291468686919991,0.118874488944101,-0.3055153635156,-0.0875830566611988,-0.416689141520299,0.5158529220303,0.219257212156501,-0.3001234612369,-0.485276891187,-0.338216245335101,-0.0959003761150008,0.3117223351004,0.1609837000317,-0.147680330665599,-0.126341477109401,-0.481693936142499,-0.516531064625699,-0.320789791582801,-0.295524426086001,0.2104951431677,NA,-0.0721647938185015,-0.1989583631826,0.492957884427199,-0.155004680885799,0.300921585336699,-0.358041439966101,0.3277305455576,0.5019407156129
"FITM1",0.8032433579107,-0.0222302253710005,-0.0574028803867996,-0.334351616611499,0.1492643534864,-0.1673402146864,-0.1877026669915,0.501365205549499,-0.6639997345354,-0.331790889195201,-0.524661358025,-0.9859024298345,-0.6497802316786,-0.0947983054404009,-0.118732181204301,-0.233930072467,-0.2240675834665,-0.7392096148451,-0.400054021138301,0.1658524073957,0.957379735599,0.5978846770206,0.1280731647631,0.3084534327133,-0.308058381375599,0.4982778995731,0.6128185530611,0.221645071351601,0.2928573906099,0.426810179359901,0.6060111646122,0.116113130385401,-0.4440721662613,-0.4889162327954,0.7029237759607,0.4033905650988,1.2746030711036,-1.4243451571362,0.0598465802383004,NA,-0.6745518810256,0.2735921482075,0.214817320441,-0.494008744449401,-0.428828914019801,-0.2691011225347
"VPS37C",-0.172554517391299,-0.00692937646629943,0.242006318171301,0.7828686758534,-0.154899604859999,-0.2781038241154,0.261079231248601,0.0640336341693004,-0.3566274229299,-0.432227970590601,NA,NA,0.0821010764305008,-0.303327647591701,0.7663902033848,1.06001715167937,0.7574340934483,-0.642779852367701,-0.3808414362358,NA,-0.5190821948744,-0.3644644752583,-0.4685990936406,NA,-0.2999824800377,-0.2469267550584,-0.4937508817113,0.265377914330299,-0.313729484018399,-0.3526371490715,0.160571413282499,-0.0265699875952006,-0.0417401288308987,0.405590473707099,0.1099680576078,0.3359899361676,-0.325275350169401,NA,-0.214045158101399,0.247643574256401,0.457877478170101,NA,-0.446329572773401,0.5461872339636,0.4028551258146,-0.396076445466701
"CARNS1",0.3670291310554,0.375295060688101,0.8393125584202,1.5871488137663,-0.1111503000326,0.426959344001499,0.1851720779982,0.391462140862801,0.111083244448201,0.559189568351099,0.836137865985801,0.881660332901099,0.4478790245428,0.469049143241699,1.287576837103,0.658606247161499,0.534649507457601,0.8252522964476,0.9056021440061,0.8807001985833,0.4038394546912,0.969038934456499,0.4337277317149,0.447637551219801,0.512435663977699,0.5545472711442,0.954261472199398,0.921441666363899,0.746395708841099,0.449072398975401,0.362827943217001,0.429741154296501,0.9853162823653,0.988776127967299,0.480602160176,0.0664106096932997,-0.049779582443799,-0.9731504345381,0.262312173877001,0.698855333415199,0.118047998265601,0.4093637382877,-0.7571297973049,-0.013715401257901,-0.0395657850777997,0.586486852235799
"MAP1LC3B2",-1.1161093160961,0.0537262714705005,-0.288115554665501,0.14923460478,-0.0492739990459992,0.0351714781689996,-0.2456904821232,0.350381749796099,0.8602762159419,0.960414905075401,-0.477413607865099,0.9526319336402,0.149303272949899,-0.1781444905131,0.2565796899293,-0.0294063394310999,-0.234542512566,-0.652312695949499,-0.3058222919364,-0.116369457826101,-0.698146794845899,-0.0604276319169994,0.1847084668184,-0.1127027905566,-0.2250417359193,-0.184607819526299,-0.395665507171001,-0.1141213786574,-0.183676656291901,-0.4747173348457,-0.0346741898841003,-0.585304216078301,-0.270624427950802,-0.2266136216021,0.000188662535000717,0.1600542101139,-0.296405686145398,-0.1038934595038,0.2913888258466,-0.136977568207699,-0.219854149729599,-0.477290515223201,-0.411469728821499,0.1467306188758,0.7829322083896,0.1451662732957
"PGP",-0.5421559272973,-0.0627605330685999,0.321627716092101,0.134867452306201,-0.111534073179699,0.0489155003471993,0.1307307476493,-0.176025579614299,0.050131925574,0.1249471352303,0.3101683342146,0.671231375068599,-0.0802210440792006,0.180624944945199,-0.1539273274193,-0.114186241724799,-0.0752594601200993,0.0786399239882005,-0.103285514644801,0.861062255327601,-0.307347500802999,-0.0514102780589987,0.0102333664262986,0.120609158986799,0.00726307689160066,-0.0547909553602999,-0.255502994305601,-0.0669652935583009,0.156035583667,-0.167487397301501,0.0572515817084991,-0.1661602693378,0.2590741229792,0.336077485065701,-0.0175263596977011,-0.1664813289975,-0.00492099201230012,0.0590963488055003,0.7462449863398,-0.1248580583503,0.101502679195999,-0.3281762098428,0.2880135139127,0.1565963470009,-0.133789157633201,-0.0699470322207993
"CASTOR2",0.0511571273432008,NA,NA,NA,-5.67156137005753e-05,NA,NA,NA,0.673052184258999,-0.0381449602859991,NA,1.1119314124931,NA,NA,NA,NA,NA,NA,-0.163758374879901,0.975734474055599,NA,-0.1152369496621,NA,-0.7706948110559,-0.752481286624601,NA,NA,NA,0.228032450322299,0.0278212488790004,-0.0499818433338,NA,-0.3250651923469,0.122408132540999,NA,NA,NA,-0.54999253588741,-0.196756296515801,0.5566091923027,NA,NA,NA,NA,0.9081777885617,NA
"LRRC14B",1.00062233180787,-0.712522193271099,NA,NA,0.63466251231932,0.353128380101701,-0.0102227093919005,-0.82396554288804,NA,-1.1151048123055,0.69867480304943,-1.47999716226666,-0.210160412010801,0.2650424721981,-0.0388594072902197,-0.822690273866879,-0.180330936568911,0.2240050460373,0.137242224021699,-0.635603751063801,0.152066993383499,-0.00759444656120145,-0.302510222757199,-1.0436831760532,0.6595706532501,-0.8956240182297,-1.00129607572599,0.792950975665699,-0.427871854238202,-0.0867811475740012,-0.756504477314069,0.168414628831501,NA,-0.329584906011599,0.0231279160582005,-1.7018080883133,-0.351062362816199,NA,0.1263172153424,NA,NA,-0.64270810833362,0.824239332292089,1.35785056265925,-0.74270896548466,0.197669621049801
"ASB14",0.0604341413779004,NA,-0.179164260366599,0.0899794606411994,-0.5421939984196,-0.362487876805,0.393720774660599,-0.238512174450999,0.0294966537947001,-0.3486111033071,-0.384086994780001,NA,-0.3096917602914,0.3185898650587,0.228275674279301,0.105998566777199,-0.607922229584799,-0.0439230048484003,0.0263125013541003,0.3019560926727,-0.3246275205315,NA,0.354108415323799,NA,-0.509197527168901,-0.433831558794601,0.117500652123999,NA,NA,0.562917291145601,0.4646333506122,-0.0174077560482004,-0.0903661811351011,NA,0.00438808878750052,-0.9466503912984,NA,-0.141075928925099,NA,NA,-0.3291812682592,0.0295679590378004,NA,-0.1147958614683,-0.520405409754199,-0.424964816900699
"COL6A6",NA,0.433031444348,-0.133492779822701,-0.533382048091001,NA,-0.2690866747065,NA,NA,NA,NA,NA,0.8286513920378,0.195050353914699,0.6234539664905,NA,NA,NA,NA,NA,1.4216861149015,NA,NA,-0.67768907023787,NA,1.03297917742763,0.4971283774785,NA,-0.0990754058256993,NA,0.8027658253095,NA,-1.3223571169659,NA,NA,NA,NA,NA,NA,0.1035095338893,-0.2901317530405,NA,NA,NA,-0.592945884919299,NA,NA
